name,year,length_min,genre,average_rating,cost_millions,foreign,age_restriction
Toy Story,1995,81,Animation,8.3,30,0,0
Akira,1998,125,Animation,8.1,10.4,1,14
The Breakfast Club,1985,97,Drama,7.9,1,0,14
The Artist,2011,100,Romance,8,15,1,12
Modern Times,1936,87,Comedy,8.6,1.5,0,10
Fight Club,1999,139,Drama,8.9,63,0,18
City of God,2002,130,Crime,8.7,3.3,1,18
The Untouchables,1987,119,Drama,7.9,25,0,14
Star Wars Episode IV,1977,121,Action,8.7,11,0,10
American Beauty,1999,122,Drama,8.4,15,0,14
Room,2015,118,Drama,8.3,13,1,14
Dr. Strangelove,1964,94,Comedy,8.5,1.8,1,10
The Ring,1998,95,Horror,7.3,1.2,1,18
Monty Python and the Holy Grail,1975,91,Comedy,8.3,0.4,1,18
High School Musical,2006,98,Comedy,5.2,4.2,0,0
Shaun of the Dead,2004,99,Horror,8,6.1,1,18
Taxi Driver,1976,113,Crime,8.3,1.3,1,14
The Shawshank Redemption,1994,142,Crime,9.3,25,0,16
Interstellar,2014,169,Adventure,8.6,165,0,10
Casino,1995,178,Biography,8.2,50,0,18
The Goodfellas,1990,145,Biography,8.7,25,0,14
Blue is the Warmest Colour,2013,179,Romance,7.8,4.5,1,18
Black Swan,2010,108,Thriller,8,13,0,16
Back to the Future,1985,116,Sci-fi,8.5,19,0,0
The Wave,2008,107,Thriller,7.6,5.5,1,16
Whiplash,2014,106,Drama,8.5,3.3,1,12
The Grand Hotel Budapest,2014,100,Crime,8.1,25.5,0,14
Jumanji,1995,104,Fantasy,6.9,65,0,12
The Eternal Sunshine of the Spotless Mind,2004,108,Drama,8.3,20,0,14
Chicago,2002,113,Comedy,7.2,45,0,12